NUI;'2022-JUL';'2022-AUG';'2022-SEP';'2022-OCT';'2022-NOV';'2022-DEC';'2023-JAN';'2023-FEB';'2023-MAR';'2023-APR';'2023-MAY';'2023-JUN';'2023-JUL';'2023-AUG';'2023-SEP';'2023-OCT';'2023-NOV';'2023-DEC'
101668;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];;
101670;11 [11-MEDIDOR NO REGISTRADO];;;;21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
101672;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
101684;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;;MAL REPORTADO EN TC2;;;;
101692;;;SIN DESVIACION SIGNIFICATIVA;16 [16-MEDIDOR DANADO];;;;;;;;;;;;;;
101702;;;;;PARA REVISION;;;;;;;;;;;;;
101728;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
101758;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;;;;
101768;;;;;;;;;;;;;;;;;;
101794;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
101836;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
101894;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
101896;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
101900;;;;;;;;;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;;;;
101914;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
101990;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
102024;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;24 [24-SERV SUSPENDIDO SIN MEDIDO];;
102052;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;;;
102056;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
102090;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
102098;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
102108;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
102126;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
102192;21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;
102208;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
102220;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
102224;;;;;;;;;;;;;;;;;10 [10-MEDIDOR INEXISTENTE O DESC];
102246;;;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;;PARA REVISION;;PARA REVISION;;;MAL REPORTADO EN TC2;;;;;
102250;;;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;MAL REPORTADO EN TC2;;
102254;MAL REPORTADO EN TC2;;;;;;PARA REVISION;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];PARA REVISION;;;
102258;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;
102324;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
102350;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
102368;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;;;
102410;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
102444;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;PARA REVISION;PARA REVISION;;;;;;;;;;;
102482;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];;8 [8-PREDIO DESOCUPADO SIN LECTU];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
102576;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;4 [4-PREDIO - DEMOLIDO O ABAND];;
102578;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;4 [4-PREDIO - DEMOLIDO O ABAND];;
102600;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;;;;;
102612;;;;;;;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;
102638;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
102652;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
102658;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
102662;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;
102690;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
102720;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;
102746;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
102784;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;
102812;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
102826;11 [11-MEDIDOR NO REGISTRADO];;;;;;;;;;;;;;;;;
102856;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;
102874;;;;;;;;;24 [24-SERV SUSPENDIDO SIN MEDIDO];;;;;;;;;
102876;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;;;
102878;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];SIN DESVIACION SIGNIFICATIVA;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
102884;;;;;;;;;;;;;;;;;16 [16-MEDIDOR DANADO];
102928;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;
103018;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
103022;;;;;;;;;;;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;24 [24-SERV SUSPENDIDO SIN MEDIDO]
103024;;;;;;;;;;;;;;;;;;
103034;;;;;;;;;;;;;MAL REPORTADO EN TC2;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;
103048;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;;;;;;;;
103062;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;
103070;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
103082;;;;PARA REVISION;;;;;;;;;;;;;;
103108;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
103122;;;;;;;;;16 [16-MEDIDOR DANADO];;;;;;;;;
103144;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
103172;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
103212;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
103242;;;;;;;;;;;MAL REPORTADO EN TC2;;;MAL REPORTADO EN TC2;;;;
103250;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;
103298;;;;;;;;;;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;;;
103300;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;16 [16-MEDIDOR DANADO];;;;;;;;;;;;;
103344;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
103376;11 [11-MEDIDOR NO REGISTRADO];;;;;;;;;;;;;;;;;
103390;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
103396;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;
103406;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
103458;;;;;;;;;;;;;;;;;;
103478;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
103492;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
103508;;;;;;;;;;;;;;PARA REVISION;;;;
103518;;;;;;;;;;;PARA REVISION;;;;;;;
103530;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
103532;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
103598;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;
103626;;;;;;;;;;;;;;MAL REPORTADO EN TC2;PARA REVISION;PARA REVISION;;
103646;;;;;;;;;;PARA REVISION;;;;;;;;
103668;;;;;;;;;;;;;;;;;;
103688;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;;;
103704;;;;;;;;;;;;;;PARA REVISION;;;;
103746;;;;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;
103756;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
103774;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
103780;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;16 [16-MEDIDOR DANADO];;;;PARA REVISION;;;;;
103838;;;;;;;;;16 [16-MEDIDOR DANADO];;;;;;;;;
103856;;;11 [11-MEDIDOR NO REGISTRADO];;11 [11-MEDIDOR NO REGISTRADO];;;;;;;;;;;;;
103880;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
103894;13 [13-MEDIDOR VOLTEADO O DESCOLG];;;;;;;;;;;;;;;;;
103906;;;13 [13-MEDIDOR VOLTEADO O DESCOLG];;;;;;;;;;;;;;;
104008;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104036;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
104072;;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;;;
104106;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104108;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;
104110;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
104126;;;;;;PARA REVISION;;;;;;;;MAL REPORTADO EN TC2;;;;
104128;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
