NUI;'2022-JUL';'2022-AUG';'2022-SEP';'2022-OCT';'2022-NOV';'2022-DEC';'2023-JAN';'2023-FEB';'2023-MAR';'2023-APR';'2023-MAY';'2023-JUN';'2023-JUL';'2023-AUG';'2023-SEP';'2023-OCT';'2023-NOV';'2023-DEC'
1034087;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034089;;;;;;;;;;;;;PARA REVISION;;;;;
1034175;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;
1034176;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
1034177;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
1034178;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
1034179;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
1034180;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
1034181;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
1034182;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
1034183;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
1034184;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
1034185;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1034186;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1034187;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1034188;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1034189;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1034190;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1034191;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1034193;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1034194;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1034255;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;
1034259;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
1034260;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
1034262;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];SIN DESVIACION SIGNIFICATIVA;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
1034276;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;;;
1034277;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;
1034278;99 [99-LECTURA CONFIRMADA];;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;99 [99-LECTURA CONFIRMADA];;;;
1034319;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034345;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;;
1034363;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
1034383;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034389;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034396;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034399;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034410;99 [99-LECTURA CONFIRMADA];;;;32 [32-NO HAY ACCESO AL MEDIDOR];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034416;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;19 [19-REGISTRADOR NO VISIBLE];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;
1034420;99 [99-LECTURA CONFIRMADA];;PARA REVISION;;;;;;;;;;;;;;;
1034435;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;
1034451;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034453;;;;;30 [30-DESASTRE NATURAL];;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;MAL REPORTADO EN TC2;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;99 [99-LECTURA CONFIRMADA];PARA REVISION;
1034455;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;99 [99-LECTURA CONFIRMADA];;MAL REPORTADO EN TC2;;
1034472;MAL REPORTADO EN TC2;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;99 [99-LECTURA CONFIRMADA];;;;
1034482;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;;;;;;;;;;;;
1034502;;;PARA REVISION;;;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;;;;;;;;;
1034518;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
1034542;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;;;;;;;;;;;;
1034566;MAL REPORTADO EN TC2;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034579;MAL REPORTADO EN TC2;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;
1034600;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;99 [99-LECTURA CONFIRMADA];MAL REPORTADO EN TC2;;;;
1034602;99 [99-LECTURA CONFIRMADA];;8 [8-PREDIO DESOCUPADO SIN LECTU];SIN DESVIACION SIGNIFICATIVA;30 [30-DESASTRE NATURAL];;32 [32-NO HAY ACCESO AL MEDIDOR];;;;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;
1034691;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
1034704;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034708;MAL REPORTADO EN TC2;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;;;;;;
1034716;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034729;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;8 [8-PREDIO DESOCUPADO SIN LECTU];;MAL REPORTADO EN TC2;;;;;;;
1034734;99 [99-LECTURA CONFIRMADA];;;;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;
1034753;PARA REVISION;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];PARA REVISION;;;;;
1034754;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;
1034764;99 [99-LECTURA CONFIRMADA];;MAL REPORTADO EN TC2;SIN DESVIACION SIGNIFICATIVA;30 [30-DESASTRE NATURAL];;MAL REPORTADO EN TC2;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;;
1034767;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034771;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
1034774;MAL REPORTADO EN TC2;;MAL REPORTADO EN TC2;;18 [18-DISPLAY APAGADO O DESPROGRA];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;MAL REPORTADO EN TC2;;;;;;;
1034776;8 [8-PREDIO DESOCUPADO SIN LECTU];;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;;;;;;
1034779;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034782;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;99 [99-LECTURA CONFIRMADA];;;;;;;;;
1034794;MAL REPORTADO EN TC2;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;
1034795;MAL REPORTADO EN TC2;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;;;
1034798;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;99 [99-LECTURA CONFIRMADA];;;;;
1034801;;;MAL REPORTADO EN TC2;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;19 [19-REGISTRADOR NO VISIBLE];;MAL REPORTADO EN TC2;;;;;;;
1034802;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;4 [4-PREDIO - DEMOLIDO O ABAND];;99 [99-LECTURA CONFIRMADA];99 [99-LECTURA CONFIRMADA];;;;;;
1034803;;;MAL REPORTADO EN TC2;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;;;;;;;;
1034804;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;;;;;;;;
1034805;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;19 [19-REGISTRADOR NO VISIBLE];;MAL REPORTADO EN TC2;;;;;;;
1034807;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;;
1034808;;;MAL REPORTADO EN TC2;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;;;;;;;;
1034809;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;PARA REVISION;99 [99-LECTURA CONFIRMADA];SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;
1034810;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;
1034811;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;
1034813;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;19 [19-REGISTRADOR NO VISIBLE];;;;;;;;;
1034814;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;;
1034816;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;19 [19-REGISTRADOR NO VISIBLE];;99 [99-LECTURA CONFIRMADA];;;;;;;
1034818;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;;;;;;;;
1034819;MAL REPORTADO EN TC2;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;MAL REPORTADO EN TC2;;;;;;;
1034820;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;19 [19-REGISTRADOR NO VISIBLE];;;;;;;;;
1034822;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;;;;;;;;
1034823;;;MAL REPORTADO EN TC2;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;;;;;;;;
1034824;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;;;;;;;;
1034825;;;;;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;19 [19-REGISTRADOR NO VISIBLE];;;;;;;;;
1034826;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;19 [19-REGISTRADOR NO VISIBLE];;;;;;;;;
1034827;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;7 [7-EXTREMADAMENTE ALTO];;;;;;;;;
1034828;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;19 [19-REGISTRADOR NO VISIBLE];;MAL REPORTADO EN TC2;;;;;;;
1034836;;;99 [99-LECTURA CONFIRMADA];MAL REPORTADO EN TC2;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;
1034838;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;
1034842;;;;;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1034867;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;;;
1034871;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;;
1034905;8 [8-PREDIO DESOCUPADO SIN LECTU];;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];99 [99-LECTURA CONFIRMADA];;PARA REVISION;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;;;
1034942;;;;;;;;;;;;;;32 [32-NO HAY ACCESO AL MEDIDOR];;;;
1034961;;;;;;;;;;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];;
1034972;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;
1035002;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;
1035005;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;
1035025;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;
1035105;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;
1035115;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;
1035141;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;
1035156;;;SIN DESVIACION SIGNIFICATIVA;13 [13-MEDIDOR VOLTEADO O DESCOLG];;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;;;;;;;;
1035169;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;;
1035171;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
1035173;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;;;;;;
1035180;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;
1035181;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;MAL REPORTADO EN TC2;;;;;;;
1035187;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;
1035188;;;;;;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;;;;;;
1035191;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;
1035194;;;PARA REVISION;;;;;;;;;;;;;;;
1035196;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
1035198;;;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA
1035199;;;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA
1035218;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;;;99 [99-LECTURA CONFIRMADA];;;;
1035224;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1035225;;;;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];;MAL REPORTADO EN TC2;;
1035226;;;;;;;;;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;
1035232;;;;;;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;;;;;;
1035241;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;
1035267;;;;;;;;;99 [99-LECTURA CONFIRMADA];;MAL REPORTADO EN TC2;;;;;;;
1035268;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
1035269;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
1035270;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;
1035272;8 [8-PREDIO DESOCUPADO SIN LECTU];;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];PARA REVISION;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;
1035273;MAL REPORTADO EN TC2;;;;30 [30-DESASTRE NATURAL];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;
1035280;32 [32-NO HAY ACCESO AL MEDIDOR];;;;;;;;;;;;;;;;;
1035281;MAL REPORTADO EN TC2;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;;;
1035282;MAL REPORTADO EN TC2;;;;32 [32-NO HAY ACCESO AL MEDIDOR];;;;;;;;;;;;;
1035284;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;
1035288;;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;
1035291;;;;;;;99 [99-LECTURA CONFIRMADA];;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;
1035292;16 [16-MEDIDOR DANADO];;;;;;SIN DESVIACION SIGNIFICATIVA;4 [4-PREDIO - DEMOLIDO O ABAND];8 [8-PREDIO DESOCUPADO SIN LECTU];;;;99 [99-LECTURA CONFIRMADA];;;;;
1035299;18 [18-DISPLAY APAGADO O DESPROGRA];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];SIN DESVIACION SIGNIFICATIVA;21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV]
1035303;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;SIN DESVIACION SIGNIFICATIVA
1035310;;;;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;
1035314;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;MAL REPORTADO EN TC2;;
1035315;;;;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;
1035321;24 [24-SERV SUSPENDIDO SIN MEDIDO];;21 [21-MEDIDOR DESCONECT SIN SERV];;;24 [24-SERV SUSPENDIDO SIN MEDIDO];;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];4 [4-PREDIO - DEMOLIDO O ABAND];4 [4-PREDIO - DEMOLIDO O ABAND];;4 [4-PREDIO - DEMOLIDO O ABAND];4 [4-PREDIO - DEMOLIDO O ABAND];4 [4-PREDIO - DEMOLIDO O ABAND]
1035323;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
1035325;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;
