NUI,year,mes,Value,ValueNum,Month
466270,2022,JUL,18 [18-DISPLAY APAGADO O DESPROGRA],18,7
466298,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
466476,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
467246,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
467544,2022,JUL,37 [37-SIN SELLOS EN TAPA BORNERA],37,7
467622,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
472854,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
472934,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
473032,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
473920,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
474814,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
476696,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
500673,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
505066,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
505636,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
505648,2022,JUL,16 [16-MEDIDOR DANADO],16,7
512556,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
512708,2022,JUL,16 [16-MEDIDOR DANADO],16,7
512724,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
513375,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
513377,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
513383,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
514905,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
527390,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
531545,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
531587,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
531605,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
532643,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
532805,2022,JUL,16 [16-MEDIDOR DANADO],16,7
532819,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
532831,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
532899,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
532901,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
533427,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
533685,2022,JUL,7 [7-EXTREMADAMENTE ALTO],7,7
534825,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
536003,2022,JUL,16 [16-MEDIDOR DANADO],16,7
537583,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
537629,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537701,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537725,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537741,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537743,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537747,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537749,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537751,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537761,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537763,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537765,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537767,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537769,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537809,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537817,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537823,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537843,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537845,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537863,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
537865,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
537879,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
541486,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
541600,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
541935,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
544297,2022,JUL,16 [16-MEDIDOR DANADO],16,7
546769,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
551488,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
551953,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
552820,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
553617,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
556014,2022,JUL,16 [16-MEDIDOR DANADO],16,7
557799,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
557837,2022,JUL,37 [37-SIN SELLOS EN TAPA BORNERA],37,7
558274,2022,JUL,16 [16-MEDIDOR DANADO],16,7
560420,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
560695,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
562856,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
562961,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
562965,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
562968,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
566820,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
567888,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
568886,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
569248,2022,JUL,37 [37-SIN SELLOS EN TAPA BORNERA],37,7
569500,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
570945,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
573585,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
578555,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
579323,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
580120,2022,JUL,16 [16-MEDIDOR DANADO],16,7
583904,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
584198,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
587861,2022,JUL,16 [16-MEDIDOR DANADO],16,7
588759,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
594778,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
599032,2022,JUL,7 [7-EXTREMADAMENTE ALTO],7,7
599194,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
599681,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
602822,2022,JUL,16 [16-MEDIDOR DANADO],16,7
604891,2022,JUL,16 [16-MEDIDOR DANADO],16,7
604945,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
607741,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
609295,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
609343,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
609555,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
609615,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
610825,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
610964,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
615241,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
615264,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
619130,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
619144,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
619150,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
619154,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
620077,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
620846,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
621881,2022,JUL,16 [16-MEDIDOR DANADO],16,7
628265,2022,JUL,18 [18-DISPLAY APAGADO O DESPROGRA],18,7
633509,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
634245,2022,JUL,16 [16-MEDIDOR DANADO],16,7
634415,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
639514,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
641871,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
642695,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
1003115,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
1006233,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
1006236,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
1009309,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
1009679,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
1011408,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
1011547,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
1016431,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
1016758,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
1016837,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
1016940,2022,JUL,18 [18-DISPLAY APAGADO O DESPROGRA],18,7
1018918,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
1020212,2022,JUL,18 [18-DISPLAY APAGADO O DESPROGRA],18,7
1021127,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
1023271,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
1024736,2022,JUL,18 [18-DISPLAY APAGADO O DESPROGRA],18,7
1025069,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
1025171,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
