NUI,Date,Value
133324,'2022-JUL',SIN DESVIACION SIGNIFICATIVA
133444,'2022-JUL',PARA REVISION
133646,'2022-JUL',MAL REPORTADO EN TC2
133692,'2022-JUL',PARA REVISION
133816,'2022-JUL',MAL REPORTADO EN TC2
133894,'2022-JUL',PARA REVISION
133896,'2022-JUL',MAL REPORTADO EN TC2
133908,'2022-JUL',MAL REPORTADO EN TC2
133914,'2022-JUL',PARA REVISION
134590,'2022-JUL',PARA REVISION
134948,'2022-JUL',MAL REPORTADO EN TC2
134982,'2022-JUL',MAL REPORTADO EN TC2
135068,'2022-JUL',99 [99-LECTURA CONFIRMADA]
135606,'2022-JUL',4 [4-PREDIO - DEMOLIDO O ABAND]
136352,'2022-JUL',MAL REPORTADO EN TC2
136494,'2022-JUL',MAL REPORTADO EN TC2
136974,'2022-JUL',31 [31-ZONA EN CONFLICTO]
137592,'2022-JUL',PARA REVISION
137654,'2022-JUL',99 [99-LECTURA CONFIRMADA]
137822,'2022-JUL',PARA REVISION
137988,'2022-JUL',11 [11-MEDIDOR NO REGISTRADO]
138006,'2022-JUL',MAL REPORTADO EN TC2
138036,'2022-JUL',MAL REPORTADO EN TC2
138052,'2022-JUL',16 [16-MEDIDOR DANADO]
138072,'2022-JUL',PARA REVISION
138214,'2022-JUL',PARA REVISION
138292,'2022-JUL',PARA REVISION
138314,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
138480,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
138496,'2022-JUL',PARA REVISION
138504,'2022-JUL',MAL REPORTADO EN TC2
138680,'2022-JUL',MAL REPORTADO EN TC2
138700,'2022-JUL',MAL REPORTADO EN TC2
139654,'2022-JUL',99 [99-LECTURA CONFIRMADA]
139806,'2022-JUL',MAL REPORTADO EN TC2
139828,'2022-JUL',PARA REVISION
139932,'2022-JUL',99 [99-LECTURA CONFIRMADA]
140318,'2022-JUL',SIN DESVIACION SIGNIFICATIVA
140572,'2022-JUL',PARA REVISION
140714,'2022-JUL',MAL REPORTADO EN TC2
141462,'2022-JUL',PARA REVISION
141500,'2022-JUL',99 [99-LECTURA CONFIRMADA]
141656,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
141772,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
142326,'2022-JUL',MAL REPORTADO EN TC2
142438,'2022-JUL',MAL REPORTADO EN TC2
144250,'2022-JUL',99 [99-LECTURA CONFIRMADA]
144370,'2022-JUL',PARA REVISION
144510,'2022-JUL',PARA REVISION
144520,'2022-JUL',MAL REPORTADO EN TC2
144686,'2022-JUL',MAL REPORTADO EN TC2
145376,'2022-JUL',PARA REVISION
145512,'2022-JUL',MAL REPORTADO EN TC2
145904,'2022-JUL',PARA REVISION
145932,'2022-JUL',MAL REPORTADO EN TC2
145934,'2022-JUL',MAL REPORTADO EN TC2
145938,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
146202,'2022-JUL',MAL REPORTADO EN TC2
146252,'2022-JUL',99 [99-LECTURA CONFIRMADA]
146314,'2022-JUL',PARA REVISION
146674,'2022-JUL',MAL REPORTADO EN TC2
146944,'2022-JUL',PARA REVISION
147032,'2022-JUL',11 [11-MEDIDOR NO REGISTRADO]
147228,'2022-JUL',MAL REPORTADO EN TC2
147506,'2022-JUL',99 [99-LECTURA CONFIRMADA]
147776,'2022-JUL',PARA REVISION
147800,'2022-JUL',MAL REPORTADO EN TC2
148256,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
148268,'2022-JUL',16 [16-MEDIDOR DANADO]
148616,'2022-JUL',PARA REVISION
148698,'2022-JUL',16 [16-MEDIDOR DANADO]
149162,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
149240,'2022-JUL',99 [99-LECTURA CONFIRMADA]
149420,'2022-JUL',16 [16-MEDIDOR DANADO]
149626,'2022-JUL',MAL REPORTADO EN TC2
150388,'2022-JUL',11 [11-MEDIDOR NO REGISTRADO]
150530,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
150706,'2022-JUL',16 [16-MEDIDOR DANADO]
150848,'2022-JUL',11 [11-MEDIDOR NO REGISTRADO]
150978,'2022-JUL',MAL REPORTADO EN TC2
151272,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
151406,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
151628,'2022-JUL',4 [4-PREDIO - DEMOLIDO O ABAND]
152932,'2022-JUL',PARA REVISION
153304,'2022-JUL',MAL REPORTADO EN TC2
153910,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
154208,'2022-JUL',13 [13-MEDIDOR VOLTEADO O DESCOLG]
154648,'2022-JUL',MAL REPORTADO EN TC2
154832,'2022-JUL',10 [10-MEDIDOR INEXISTENTE O DESC]
155252,'2022-JUL',16 [16-MEDIDOR DANADO]
155482,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
155526,'2022-JUL',99 [99-LECTURA CONFIRMADA]
155726,'2022-JUL',4 [4-PREDIO - DEMOLIDO O ABAND]
156098,'2022-JUL',16 [16-MEDIDOR DANADO]
156126,'2022-JUL',16 [16-MEDIDOR DANADO]
156174,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
156242,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
157568,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157576,'2022-JUL',4 [4-PREDIO - DEMOLIDO O ABAND]
157644,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
157674,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157690,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157704,'2022-JUL',PARA REVISION
157718,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157726,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157802,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157804,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157812,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157826,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157836,'2022-JUL',PARA REVISION
157842,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157846,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157900,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157994,'2022-JUL',99 [99-LECTURA CONFIRMADA]
157998,'2022-JUL',99 [99-LECTURA CONFIRMADA]
158494,'2022-JUL',MAL REPORTADO EN TC2
159260,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
159672,'2022-JUL',4 [4-PREDIO - DEMOLIDO O ABAND]
159732,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
159758,'2022-JUL',MAL REPORTADO EN TC2
159762,'2022-JUL',MAL REPORTADO EN TC2
159772,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
159794,'2022-JUL',MAL REPORTADO EN TC2
159858,'2022-JUL',99 [99-LECTURA CONFIRMADA]
159880,'2022-JUL',MAL REPORTADO EN TC2
159950,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
160006,'2022-JUL',32 [32-NO HAY ACCESO AL MEDIDOR]
160116,'2022-JUL',MAL REPORTADO EN TC2
160444,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
160584,'2022-JUL',PARA REVISION
160622,'2022-JUL',PARA REVISION
160920,'2022-JUL',99 [99-LECTURA CONFIRMADA]
161128,'2022-JUL',PARA REVISION
161264,'2022-JUL',6 [6-PREDIO DESOCUPADO CON LECTU]
161352,'2022-JUL',MAL REPORTADO EN TC2
161422,'2022-JUL',PARA REVISION
161480,'2022-JUL',99 [99-LECTURA CONFIRMADA]
161514,'2022-JUL',PARA REVISION
161530,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
161538,'2022-JUL',MAL REPORTADO EN TC2
161742,'2022-JUL',MAL REPORTADO EN TC2
161798,'2022-JUL',99 [99-LECTURA CONFIRMADA]
161860,'2022-JUL',11 [11-MEDIDOR NO REGISTRADO]
161932,'2022-JUL',MAL REPORTADO EN TC2
161980,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
162010,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
162082,'2022-JUL',99 [99-LECTURA CONFIRMADA]
162136,'2022-JUL',MAL REPORTADO EN TC2
162196,'2022-JUL',99 [99-LECTURA CONFIRMADA]
162782,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
163080,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
164766,'2022-JUL',99 [99-LECTURA CONFIRMADA]
164824,'2022-JUL',13 [13-MEDIDOR VOLTEADO O DESCOLG]
