NUI;year;mes;Value;ValueNum
466476;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
467246;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
467544;2022;JUL;37 [37-SIN SELLOS EN TAPA BORNERA];37
467622;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
472854;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
472934;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
473032;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
473920;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
474814;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
476696;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
500673;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
505066;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
505636;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
505648;2022;JUL;16 [16-MEDIDOR DANADO];16
512556;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
512708;2022;JUL;16 [16-MEDIDOR DANADO];16
512724;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
513375;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
513377;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
513383;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
514905;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
527390;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
531545;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
531587;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
531605;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
532643;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
532805;2022;JUL;16 [16-MEDIDOR DANADO];16
532819;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
532831;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
532899;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
532901;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
533427;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
533685;2022;JUL;7 [7-EXTREMADAMENTE ALTO];7
534825;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
536003;2022;JUL;16 [16-MEDIDOR DANADO];16
537583;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
537629;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537701;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537725;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537741;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537743;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537747;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537749;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537751;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537761;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537763;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537765;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537767;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537769;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537809;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537817;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537823;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537843;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537845;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537863;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
537865;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
537879;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
541486;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
541600;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
541935;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
544297;2022;JUL;16 [16-MEDIDOR DANADO];16
546769;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
551488;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
551953;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
552820;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
553617;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
556014;2022;JUL;16 [16-MEDIDOR DANADO];16
557799;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
557837;2022;JUL;37 [37-SIN SELLOS EN TAPA BORNERA];37
558274;2022;JUL;16 [16-MEDIDOR DANADO];16
560420;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
560695;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
562856;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
562961;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
562965;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
